GeoName,Education,Sex,Industry,Median Income
Nova Scotia,Earned doctorate,Female,Social and behavioural sciences,105410
Nova Scotia,Earned doctorate,Female,Legal professions and studies,0
Nova Scotia,Earned doctorate,Female,Health care,106072
Nova Scotia,Earned doctorate,Female,Education and teaching,98734
Nova Scotia,Earned doctorate,Female,"Trades, services, natural resources and conservation",101158
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,Science and science technology,60720
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,Engineering and engineering technology,64811
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,Mathematics and computer and information science,49414
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,Business and administration,42509
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,Arts and humanities,35875
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,Social and behavioural sciences,31611
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,Legal professions and studies,39109
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,Health care,43205
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,Education and teaching,32155
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Both sexes,"Trades, services, natural resources and conservation",47685
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,Science and science technology,61211
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,Engineering and engineering technology,66924
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,Mathematics and computer and information science,51253
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,Business and administration,50069
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,Arts and humanities,38065
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,Social and behavioural sciences,45221
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,Legal professions and studies,43614
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,Health care,53618
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,Education and teaching,37872
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Male,"Trades, services, natural resources and conservation",53157
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,Science and science technology,60512
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,Engineering and engineering technology,49886
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,Mathematics and computer and information science,44092
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,Business and administration,40999
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,Arts and humanities,33713
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,Social and behavioural sciences,30831
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,Legal professions and studies,38928
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,Health care,42345
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,Education and teaching,30791
New Brunswick,"College, CEGEP or other non-university certificate or diploma",Female,"Trades, services, natural resources and conservation",29742
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,Science and science technology,64536
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,Engineering and engineering technology,87609
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,Mathematics and computer and information science,77475
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,Business and administration,68270
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,Arts and humanities,50747
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,Social and behavioural sciences,56303
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,Legal professions and studies,82598
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,Health care,79396
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,Education and teaching,71958
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Both sexes,"Trades, services, natural resources and conservation",66456
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,Science and science technology,72987
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,Engineering and engineering technology,89030
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,Mathematics and computer and information science,80357
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,Business and administration,75242
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,Arts and humanities,54037
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,Social and behavioural sciences,65380
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,Legal professions and studies,85739
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,Health care,93753
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,Education and teaching,75837
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Male,"Trades, services, natural resources and conservation",71016
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,Science and science technology,56894
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,Engineering and engineering technology,78225
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,Mathematics and computer and information science,66513
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,Business and administration,60756
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,Arts and humanities,48547
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,Social and behavioural sciences,51430
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,Legal professions and studies,78344
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,Health care,78651
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,Education and teaching,71161
New Brunswick,"University certificate, diploma or degree at bachelor level or above",Female,"Trades, services, natural resources and conservation",64075
New Brunswick,Bachelor's degree,Both sexes,Science and science technology,58870
New Brunswick,Bachelor's degree,Both sexes,Engineering and engineering technology,86308
New Brunswick,Bachelor's degree,Both sexes,Mathematics and computer and information science,77288
New Brunswick,Bachelor's degree,Both sexes,Business and administration,62091
New Brunswick,Bachelor's degree,Both sexes,Arts and humanities,48722
New Brunswick,Bachelor's degree,Both sexes,Social and behavioural sciences,51813
New Brunswick,Bachelor's degree,Both sexes,Legal professions and studies,82442
New Brunswick,Bachelor's degree,Both sexes,Health care,78330
New Brunswick,Bachelor's degree,Both sexes,Education and teaching,70048
New Brunswick,Bachelor's degree,Both sexes,"Trades, services, natural resources and conservation",64693
New Brunswick,Bachelor's degree,Male,Science and science technology,65230
New Brunswick,Bachelor's degree,Male,Engineering and engineering technology,87857
New Brunswick,Bachelor's degree,Male,Mathematics and computer and information science,80290
New Brunswick,Bachelor's degree,Male,Business and administration,70093
New Brunswick,Bachelor's degree,Male,Arts and humanities,51095
New Brunswick,Bachelor's degree,Male,Social and behavioural sciences,61387
New Brunswick,Bachelor's degree,Male,Legal professions and studies,83532
New Brunswick,Bachelor's degree,Male,Health care,81811
New Brunswick,Bachelor's degree,Male,Education and teaching,70989
New Brunswick,Bachelor's degree,Male,"Trades, services, natural resources and conservation",67264
New Brunswick,Bachelor's degree,Female,Science and science technology,55132
New Brunswick,Bachelor's degree,Female,Engineering and engineering technology,77843
New Brunswick,Bachelor's degree,Female,Mathematics and computer and information science,66284
New Brunswick,Bachelor's degree,Female,Business and administration,55693
New Brunswick,Bachelor's degree,Female,Arts and humanities,47446
New Brunswick,Bachelor's degree,Female,Social and behavioural sciences,47491
New Brunswick,Bachelor's degree,Female,Legal professions and studies,78817
New Brunswick,Bachelor's degree,Female,Health care,78002
New Brunswick,Bachelor's degree,Female,Education and teaching,69607
New Brunswick,Bachelor's degree,Female,"Trades, services, natural resources and conservation",63591
New Brunswick,Master's degree,Both sexes,Science and science technology,70338
New Brunswick,Master's degree,Both sexes,Engineering and engineering technology,89942
New Brunswick,Master's degree,Both sexes,Mathematics and computer and information science,74423
New Brunswick,Master's degree,Both sexes,Business and administration,86363
New Brunswick,Master's degree,Both sexes,Arts and humanities,52730
New Brunswick,Master's degree,Both sexes,Social and behavioural sciences,69070
New Brunswick,Master's degree,Both sexes,Legal professions and studies,89283
New Brunswick,Master's degree,Both sexes,Health care,78331
New Brunswick,Master's degree,Both sexes,Education and teaching,83984
New Brunswick,Master's degree,Both sexes,"Trades, services, natural resources and conservation",72024
New Brunswick,Master's degree,Male,Science and science technology,78583
New Brunswick,Master's degree,Male,Engineering and engineering technology,91888
New Brunswick,Master's degree,Male,Mathematics and computer and information science,76845
New Brunswick,Master's degree,Male,Business and administration,95884
New Brunswick,Master's degree,Male,Arts and humanities,55134
New Brunswick,Master's degree,Male,Social and behavioural sciences,83219
New Brunswick,Master's degree,Male,Legal professions and studies,89402
New Brunswick,Master's degree,Male,Health care,69714
New Brunswick,Master's degree,Male,Education and teaching,84166
New Brunswick,Master's degree,Male,"Trades, services, natural resources and conservation",78921
New Brunswick,Master's degree,Female,Science and science technology,66313
New Brunswick,Master's degree,Female,Engineering and engineering technology,83067
New Brunswick,Master's degree,Female,Mathematics and computer and information science,70738
New Brunswick,Master's degree,Female,Business and administration,80620
New Brunswick,Master's degree,Female,Arts and humanities,50511
New Brunswick,Master's degree,Female,Social and behavioural sciences,67040
New Brunswick,Master's degree,Female,Legal professions and studies,80763
New Brunswick,Master's degree,Female,Health care,79824
New Brunswick,Master's degree,Female,Education and teaching,82788
New Brunswick,Master's degree,Female,"Trades, services, natural resources and conservation",68253
New Brunswick,Earned doctorate,Both sexes,Science and science technology,106754
New Brunswick,Earned doctorate,Both sexes,Engineering and engineering technology,122134
New Brunswick,Earned doctorate,Both sexes,Mathematics and computer and information science,128827
New Brunswick,Earned doctorate,Both sexes,Business and administration,144571
New Brunswick,Earned doctorate,Both sexes,Arts and humanities,107873
New Brunswick,Earned doctorate,Both sexes,Social and behavioural sciences,98737
New Brunswick,Earned doctorate,Both sexes,Legal professions and studies,0
New Brunswick,Earned doctorate,Both sexes,Health care,97325
New Brunswick,Earned doctorate,Both sexes,Education and teaching,106723
New Brunswick,Earned doctorate,Both sexes,"Trades, services, natural resources and conservation",99231
New Brunswick,Earned doctorate,Male,Science and science technology,110573
New Brunswick,Earned doctorate,Male,Engineering and engineering technology,130008
New Brunswick,Earned doctorate,Male,Mathematics and computer and information science,128811
New Brunswick,Earned doctorate,Male,Business and administration,0
New Brunswick,Earned doctorate,Male,Arts and humanities,74473
New Brunswick,Earned doctorate,Male,Social and behavioural sciences,108055
New Brunswick,Earned doctorate,Male,Legal professions and studies,0
New Brunswick,Earned doctorate,Male,Health care,96072
New Brunswick,Earned doctorate,Male,Education and teaching,0
New Brunswick,Earned doctorate,Male,"Trades, services, natural resources and conservation",122385
New Brunswick,Earned doctorate,Female,Science and science technology,86769
New Brunswick,Earned doctorate,Female,Engineering and engineering technology,0
New Brunswick,Earned doctorate,Female,Mathematics and computer and information science,0
New Brunswick,Earned doctorate,Female,Business and administration,0
New Brunswick,Earned doctorate,Female,Arts and humanities,121632
New Brunswick,Earned doctorate,Female,Social and behavioural sciences,97821
New Brunswick,Earned doctorate,Female,Legal professions and studies,0
New Brunswick,Earned doctorate,Female,Health care,0
New Brunswick,Earned doctorate,Female,Education and teaching,105275
New Brunswick,Earned doctorate,Female,"Trades, services, natural resources and conservation",0
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,Science and science technology,52994
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,Engineering and engineering technology,65190
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,Mathematics and computer and information science,58696
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,Business and administration,45477
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,Arts and humanities,40960
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,Social and behavioural sciences,38209
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,Legal professions and studies,43970
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,Health care,50729
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,Education and teaching,41550
Quebec,"College, CEGEP or other non-university certificate or diploma",Both sexes,"Trades, services, natural resources and conservation",53098
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,Science and science technology,59452
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,Engineering and engineering technology,66914
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,Mathematics and computer and information science,59949
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,Business and administration,50898
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,Arts and humanities,45079
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,Social and behavioural sciences,47494
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,Legal professions and studies,51084
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,Health care,56721
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,Education and teaching,50082
Quebec,"College, CEGEP or other non-university certificate or diploma",Male,"Trades, services, natural resources and conservation",58755
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,Science and science technology,46699
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,Engineering and engineering technology,48701
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,Mathematics and computer and information science,53402
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,Business and administration,43689
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,Arts and humanities,38699
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,Social and behavioural sciences,36862
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,Legal professions and studies,43006
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,Health care,49459
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,Education and teaching,40295
Quebec,"College, CEGEP or other non-university certificate or diploma",Female,"Trades, services, natural resources and conservation",42495
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,Science and science technology,65610
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,Engineering and engineering technology,79868
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,Mathematics and computer and information science,75763
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,Business and administration,71966
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,Arts and humanities,49927
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,Social and behavioural sciences,58826
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,Legal professions and studies,78173
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,Health care,75482
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,Education and teaching,66658
Quebec,"University certificate, diploma or degree at bachelor level or above",Both sexes,"Trades, services, natural resources and conservation",61813
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,Science and science technology,72035
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,Engineering and engineering technology,81626
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,Mathematics and computer and information science,77384
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,Business and administration,78757
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,Arts and humanities,52697
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,Social and behavioural sciences,64990
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,Legal professions and studies,84368
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,Health care,82233
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,Education and teaching,71034
Quebec,"University certificate, diploma or degree at bachelor level or above",Male,"Trades, services, natural resources and conservation",66429
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,Science and science technology,59236
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,Engineering and engineering technology,70513
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,Mathematics and computer and information science,71071
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,Business and administration,65031
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,Arts and humanities,48161
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,Social and behavioural sciences,55606
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,Legal professions and studies,74521
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,Health care,74617
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,Education and teaching,65195
Quebec,"University certificate, diploma or degree at bachelor level or above",Female,"Trades, services, natural resources and conservation",58924
Quebec,Bachelor's degree,Both sexes,Science and science technology,58390
Quebec,Bachelor's degree,Both sexes,Engineering and engineering technology,78912
Quebec,Bachelor's degree,Both sexes,Mathematics and computer and information science,75099
Quebec,Bachelor's degree,Both sexes,Business and administration,66018
Quebec,Bachelor's degree,Both sexes,Arts and humanities,47423
Quebec,Bachelor's degree,Both sexes,Social and behavioural sciences,54520
Quebec,Bachelor's degree,Both sexes,Legal professions and studies,78988
Quebec,Bachelor's degree,Both sexes,Health care,75256
Quebec,Bachelor's degree,Both sexes,Education and teaching,64668
Quebec,Bachelor's degree,Both sexes,"Trades, services, natural resources and conservation",59525
Quebec,Bachelor's degree,Male,Science and science technology,63321
Quebec,Bachelor's degree,Male,Engineering and engineering technology,80992
Quebec,Bachelor's degree,Male,Mathematics and computer and information science,76492
Quebec,Bachelor's degree,Male,Business and administration,72795
Quebec,Bachelor's degree,Male,Arts and humanities,49578
Quebec,Bachelor's degree,Male,Social and behavioural sciences,59722
Quebec,Bachelor's degree,Male,Legal professions and studies,81375
Quebec,Bachelor's degree,Male,Health care,81765
Quebec,Bachelor's degree,Male,Education and teaching,69231
Quebec,Bachelor's degree,Male,"Trades, services, natural resources and conservation",64854
Quebec,Bachelor's degree,Female,Science and science technology,53954
Quebec,Bachelor's degree,Female,Engineering and engineering technology,67909
Quebec,Bachelor's degree,Female,Mathematics and computer and information science,70760
Quebec,Bachelor's degree,Female,Business and administration,60451
Quebec,Bachelor's degree,Female,Arts and humanities,45947
Quebec,Bachelor's degree,Female,Social and behavioural sciences,51511
Quebec,Bachelor's degree,Female,Legal professions and studies,76325
Quebec,Bachelor's degree,Female,Health care,74621
Quebec,Bachelor's degree,Female,Education and teaching,63577
Quebec,Bachelor's degree,Female,"Trades, services, natural resources and conservation",56164
Quebec,Master's degree,Both sexes,Science and science technology,68798
Quebec,Master's degree,Both sexes,Engineering and engineering technology,81972
Quebec,Master's degree,Both sexes,Mathematics and computer and information science,76592
Quebec,Master's degree,Both sexes,Business and administration,87186
Quebec,Master's degree,Both sexes,Arts and humanities,56788
Quebec,Master's degree,Both sexes,Social and behavioural sciences,69602
Quebec,Master's degree,Both sexes,Legal professions and studies,79054
Quebec,Master's degree,Both sexes,Health care,72463
Quebec,Master's degree,Both sexes,Education and teaching,74244
Quebec,Master's degree,Both sexes,"Trades, services, natural resources and conservation",66881
Quebec,Master's degree,Male,Science and science technology,72764
Quebec,Master's degree,Male,Engineering and engineering technology,83083
Quebec,Master's degree,Male,Mathematics and computer and information science,78490
Quebec,Master's degree,Male,Business and administration,95225
Quebec,Master's degree,Male,Arts and humanities,58347
Quebec,Master's degree,Male,Social and behavioural sciences,75449
Quebec,Master's degree,Male,Legal professions and studies,94466
Quebec,Master's degree,Male,Health care,79536
Quebec,Master's degree,Male,Education and teaching,77019
Quebec,Master's degree,Male,"Trades, services, natural resources and conservation",70310
Quebec,Master's degree,Female,Science and science technology,63872
Quebec,Master's degree,Female,Engineering and engineering technology,78510
Quebec,Master's degree,Female,Mathematics and computer and information science,71412
Quebec,Master's degree,Female,Business and administration,79163
Quebec,Master's degree,Female,Arts and humanities,55234
Quebec,Master's degree,Female,Social and behavioural sciences,65845
Quebec,Master's degree,Female,Legal professions and studies,72953
Quebec,Master's degree,Female,Health care,70701
Quebec,Master's degree,Female,Education and teaching,72876
Quebec,Master's degree,Female,"Trades, services, natural resources and conservation",65291
Quebec,Earned doctorate,Both sexes,Science and science technology,88749
Quebec,Earned doctorate,Both sexes,Engineering and engineering technology,99180
Quebec,Earned doctorate,Both sexes,Mathematics and computer and information science,93400
Quebec,Earned doctorate,Both sexes,Business and administration,129852
Quebec,Earned doctorate,Both sexes,Arts and humanities,79012
Quebec,Earned doctorate,Both sexes,Social and behavioural sciences,87676
Quebec,Earned doctorate,Both sexes,Legal professions and studies,130316
Quebec,Earned doctorate,Both sexes,Health care,88192
Quebec,Earned doctorate,Both sexes,Education and teaching,91097
Quebec,Earned doctorate,Both sexes,"Trades, services, natural resources and conservation",88680
Quebec,Earned doctorate,Male,Science and science technology,98394
Quebec,Earned doctorate,Male,Engineering and engineering technology,99706
Quebec,Earned doctorate,Male,Mathematics and computer and information science,94351
Quebec,Earned doctorate,Male,Business and administration,138529
Quebec,Earned doctorate,Male,Arts and humanities,79543
Quebec,Earned doctorate,Male,Social and behavioural sciences,103101
Quebec,Earned doctorate,Male,Legal professions and studies,144522
Quebec,Earned doctorate,Male,Health care,85664
Quebec,Earned doctorate,Male,Education and teaching,107080
Quebec,Earned doctorate,Male,"Trades, services, natural resources and conservation",88921
Quebec,Earned doctorate,Female,Science and science technology,77010
Quebec,Earned doctorate,Female,Engineering and engineering technology,94786
Quebec,Earned doctorate,Female,Mathematics and computer and information science,91864
Quebec,Earned doctorate,Female,Business and administration,116758
Quebec,Earned doctorate,Female,Arts and humanities,78744
Quebec,Earned doctorate,Female,Social and behavioural sciences,80058
Quebec,Earned doctorate,Female,Legal professions and studies,121400
Quebec,Earned doctorate,Female,Health care,91682
Quebec,Earned doctorate,Female,Education and teaching,90626
Quebec,Earned doctorate,Female,"Trades, services, natural resources and conservation",85984
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,Science and science technology,60142
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,Engineering and engineering technology,70770
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,Mathematics and computer and information science,63865
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,Business and administration,52021
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,Arts and humanities,45282
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,Social and behavioural sciences,42829
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,Legal professions and studies,51065
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,Health care,48169
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,Education and teaching,41167
Ontario,"College, CEGEP or other non-university certificate or diploma",Both sexes,"Trades, services, natural resources and conservation",54624
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,Science and science technology,66695
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,Engineering and engineering technology,72274
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,Mathematics and computer and information science,66864
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,Business and administration,59067
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,Arts and humanities,48594
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,Social and behavioural sciences,52323
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,Legal professions and studies,52016
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,Health care,60113
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,Education and teaching,51275
Ontario,"College, CEGEP or other non-university certificate or diploma",Male,"Trades, services, natural resources and conservation",60306
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,Science and science technology,54509
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,Engineering and engineering technology,56032
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,Mathematics and computer and information science,56560
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,Business and administration,49271
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,Arts and humanities,42082
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,Social and behavioural sciences,41203
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,Legal professions and studies,50996
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,Health care,47017
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,Education and teaching,39938
Ontario,"College, CEGEP or other non-university certificate or diploma",Female,"Trades, services, natural resources and conservation",41658
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,Science and science technology,71610
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,Engineering and engineering technology,84587
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,Mathematics and computer and information science,84507
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,Business and administration,75942
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,Arts and humanities,58208
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,Social and behavioural sciences,66223
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,Legal professions and studies,101542
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,Health care,78953
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,Education and teaching,83782
Ontario,"University certificate, diploma or degree at bachelor level or above",Both sexes,"Trades, services, natural resources and conservation",70953
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,Science and science technology,78033
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,Engineering and engineering technology,87137
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,Mathematics and computer and information science,87923
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,Business and administration,84444
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,Arts and humanities,62940
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,Social and behavioural sciences,75899
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,Legal professions and studies,111642
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,Health care,82624
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,Education and teaching,88350
Ontario,"University certificate, diploma or degree at bachelor level or above",Male,"Trades, services, natural resources and conservation",74637
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,Science and science technology,65729
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,Engineering and engineering technology,73695
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,Mathematics and computer and information science,77674
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,Business and administration,66789
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,Arts and humanities,55341
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,Social and behavioural sciences,61081
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,Legal professions and studies,91594
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,Health care,78206
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,Education and teaching,82123
Ontario,"University certificate, diploma or degree at bachelor level or above",Female,"Trades, services, natural resources and conservation",69174
Ontario,Bachelor's degree,Both sexes,Science and science technology,67376
Ontario,Bachelor's degree,Both sexes,Engineering and engineering technology,82549
Ontario,Bachelor's degree,Both sexes,Mathematics and computer and information science,83264
Ontario,Bachelor's degree,Both sexes,Business and administration,67543
Ontario,Bachelor's degree,Both sexes,Arts and humanities,56446
Ontario,Bachelor's degree,Both sexes,Social and behavioural sciences,63842
Ontario,Bachelor's degree,Both sexes,Legal professions and studies,95770
Ontario,Bachelor's degree,Both sexes,Health care,76506
Ontario,Bachelor's degree,Both sexes,Education and teaching,81311
Ontario,Bachelor's degree,Both sexes,"Trades, services, natural resources and conservation",65717
Ontario,Bachelor's degree,Male,Science and science technology,74030
Ontario,Bachelor's degree,Male,Engineering and engineering technology,84695
Ontario,Bachelor's degree,Male,Mathematics and computer and information science,86467
Ontario,Bachelor's degree,Male,Business and administration,74756
Ontario,Bachelor's degree,Male,Arts and humanities,61042
Ontario,Bachelor's degree,Male,Social and behavioural sciences,73384
Ontario,Bachelor's degree,Male,Legal professions and studies,107737
Ontario,Bachelor's degree,Male,Health care,76039
Ontario,Bachelor's degree,Male,Education and teaching,86339
Ontario,Bachelor's degree,Male,"Trades, services, natural resources and conservation",71538
Ontario,Bachelor's degree,Female,Science and science technology,62432
Ontario,Bachelor's degree,Female,Engineering and engineering technology,71424
Ontario,Bachelor's degree,Female,Mathematics and computer and information science,76213
Ontario,Bachelor's degree,Female,Business and administration,60942
Ontario,Bachelor's degree,Female,Arts and humanities,54139
