GeoName,Education,Sex,Industry,Median Income
Newfoundland and Labrador,"University certificate, diploma or degree at bachelor level or above",Female,Legal professions and studies,120795
Newfoundland and Labrador,"University certificate, diploma or degree at bachelor level or above",Female,Health care,84595
Newfoundland and Labrador,"University certificate, diploma or degree at bachelor level or above",Female,Education and teaching,79492
Newfoundland and Labrador,"University certificate, diploma or degree at bachelor level or above",Female,"Trades, services, natural resources and conservation",74500
Newfoundland and Labrador,Bachelor's degree,Both sexes,Science and science technology,71776
Newfoundland and Labrador,Bachelor's degree,Both sexes,Engineering and engineering technology,109934
Newfoundland and Labrador,Bachelor's degree,Both sexes,Mathematics and computer and information science,73465
Newfoundland and Labrador,Bachelor's degree,Both sexes,Business and administration,73785
Newfoundland and Labrador,Bachelor's degree,Both sexes,Arts and humanities,53897
Newfoundland and Labrador,Bachelor's degree,Both sexes,Social and behavioural sciences,63201
Newfoundland and Labrador,Bachelor's degree,Both sexes,Legal professions and studies,127939
Newfoundland and Labrador,Bachelor's degree,Both sexes,Health care,84119
Newfoundland and Labrador,Bachelor's degree,Both sexes,Education and teaching,68878
Newfoundland and Labrador,Bachelor's degree,Both sexes,"Trades, services, natural resources and conservation",74426
Newfoundland and Labrador,Bachelor's degree,Male,Science and science technology,78442
Newfoundland and Labrador,Bachelor's degree,Male,Engineering and engineering technology,114791
Newfoundland and Labrador,Bachelor's degree,Male,Mathematics and computer and information science,77823
Newfoundland and Labrador,Bachelor's degree,Male,Business and administration,79630
Newfoundland and Labrador,Bachelor's degree,Male,Arts and humanities,58657
Newfoundland and Labrador,Bachelor's degree,Male,Social and behavioural sciences,71926
Newfoundland and Labrador,Bachelor's degree,Male,Legal professions and studies,145634
Newfoundland and Labrador,Bachelor's degree,Male,Health care,89891
Newfoundland and Labrador,Bachelor's degree,Male,Education and teaching,69544
Newfoundland and Labrador,Bachelor's degree,Male,"Trades, services, natural resources and conservation",76460
Newfoundland and Labrador,Bachelor's degree,Female,Science and science technology,67090
Newfoundland and Labrador,Bachelor's degree,Female,Engineering and engineering technology,97588
Newfoundland and Labrador,Bachelor's degree,Female,Mathematics and computer and information science,59620
Newfoundland and Labrador,Bachelor's degree,Female,Business and administration,68632
Newfoundland and Labrador,Bachelor's degree,Female,Arts and humanities,50560
Newfoundland and Labrador,Bachelor's degree,Female,Social and behavioural sciences,58365
Newfoundland and Labrador,Bachelor's degree,Female,Legal professions and studies,124145
Newfoundland and Labrador,Bachelor's degree,Female,Health care,83793
Newfoundland and Labrador,Bachelor's degree,Female,Education and teaching,68013
Newfoundland and Labrador,Bachelor's degree,Female,"Trades, services, natural resources and conservation",74274
Newfoundland and Labrador,Master's degree,Both sexes,Science and science technology,81717
Newfoundland and Labrador,Master's degree,Both sexes,Engineering and engineering technology,105652
Newfoundland and Labrador,Master's degree,Both sexes,Mathematics and computer and information science,85643
Newfoundland and Labrador,Master's degree,Both sexes,Business and administration,102164
Newfoundland and Labrador,Master's degree,Both sexes,Arts and humanities,55189
Newfoundland and Labrador,Master's degree,Both sexes,Social and behavioural sciences,75884
Newfoundland and Labrador,Master's degree,Both sexes,Legal professions and studies,127872
Newfoundland and Labrador,Master's degree,Both sexes,Health care,88795
Newfoundland and Labrador,Master's degree,Both sexes,Education and teaching,90760
Newfoundland and Labrador,Master's degree,Both sexes,"Trades, services, natural resources and conservation",83444
Newfoundland and Labrador,Master's degree,Male,Science and science technology,86541
Newfoundland and Labrador,Master's degree,Male,Engineering and engineering technology,111794
Newfoundland and Labrador,Master's degree,Male,Mathematics and computer and information science,83646
Newfoundland and Labrador,Master's degree,Male,Business and administration,115632
Newfoundland and Labrador,Master's degree,Male,Arts and humanities,53329
Newfoundland and Labrador,Master's degree,Male,Social and behavioural sciences,76068
Newfoundland and Labrador,Master's degree,Male,Legal professions and studies,0
Newfoundland and Labrador,Master's degree,Male,Health care,93258
Newfoundland and Labrador,Master's degree,Male,Education and teaching,91052
Newfoundland and Labrador,Master's degree,Male,"Trades, services, natural resources and conservation",90631
Newfoundland and Labrador,Master's degree,Female,Science and science technology,71991
Newfoundland and Labrador,Master's degree,Female,Engineering and engineering technology,95977
Newfoundland and Labrador,Master's degree,Female,Mathematics and computer and information science,89029
Newfoundland and Labrador,Master's degree,Female,Business and administration,91069
Newfoundland and Labrador,Master's degree,Female,Arts and humanities,57011
Newfoundland and Labrador,Master's degree,Female,Social and behavioural sciences,73213
Newfoundland and Labrador,Master's degree,Female,Legal professions and studies,142651
Newfoundland and Labrador,Master's degree,Female,Health care,88237
Newfoundland and Labrador,Master's degree,Female,Education and teaching,90687
Newfoundland and Labrador,Master's degree,Female,"Trades, services, natural resources and conservation",79792
Newfoundland and Labrador,Earned doctorate,Both sexes,Science and science technology,109198
Newfoundland and Labrador,Earned doctorate,Both sexes,Engineering and engineering technology,115736
Newfoundland and Labrador,Earned doctorate,Both sexes,Mathematics and computer and information science,109898
Newfoundland and Labrador,Earned doctorate,Both sexes,Business and administration,133467
Newfoundland and Labrador,Earned doctorate,Both sexes,Arts and humanities,90631
Newfoundland and Labrador,Earned doctorate,Both sexes,Social and behavioural sciences,98926
Newfoundland and Labrador,Earned doctorate,Both sexes,Legal professions and studies,0
Newfoundland and Labrador,Earned doctorate,Both sexes,Health care,85206
Newfoundland and Labrador,Earned doctorate,Both sexes,Education and teaching,106531
Newfoundland and Labrador,Earned doctorate,Both sexes,"Trades, services, natural resources and conservation",0
Newfoundland and Labrador,Earned doctorate,Male,Science and science technology,111970
Newfoundland and Labrador,Earned doctorate,Male,Engineering and engineering technology,115716
Newfoundland and Labrador,Earned doctorate,Male,Mathematics and computer and information science,103874
Newfoundland and Labrador,Earned doctorate,Male,Business and administration,133518
Newfoundland and Labrador,Earned doctorate,Male,Arts and humanities,91315
Newfoundland and Labrador,Earned doctorate,Male,Social and behavioural sciences,102793
Newfoundland and Labrador,Earned doctorate,Male,Legal professions and studies,0
Newfoundland and Labrador,Earned doctorate,Male,Health care,0
Newfoundland and Labrador,Earned doctorate,Male,Education and teaching,106458
Newfoundland and Labrador,Earned doctorate,Male,"Trades, services, natural resources and conservation",0
Newfoundland and Labrador,Earned doctorate,Female,Science and science technology,101710
Newfoundland and Labrador,Earned doctorate,Female,Engineering and engineering technology,0
Newfoundland and Labrador,Earned doctorate,Female,Mathematics and computer and information science,0
Newfoundland and Labrador,Earned doctorate,Female,Business and administration,0
Newfoundland and Labrador,Earned doctorate,Female,Arts and humanities,83335
Newfoundland and Labrador,Earned doctorate,Female,Social and behavioural sciences,94484
Newfoundland and Labrador,Earned doctorate,Female,Legal professions and studies,0
Newfoundland and Labrador,Earned doctorate,Female,Health care,97977
Newfoundland and Labrador,Earned doctorate,Female,Education and teaching,106557
Newfoundland and Labrador,Earned doctorate,Female,"Trades, services, natural resources and conservation",0
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,Science and science technology,51098
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,Engineering and engineering technology,54142
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,Mathematics and computer and information science,55291
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,Business and administration,44207
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,Arts and humanities,40838
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,Social and behavioural sciences,34885
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,Legal professions and studies,43835
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,Health care,41867
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,Education and teaching,29907
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Both sexes,"Trades, services, natural resources and conservation",44964
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,Science and science technology,51329
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,Engineering and engineering technology,55489
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,Mathematics and computer and information science,55245
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,Business and administration,46381
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,Arts and humanities,48339
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,Social and behavioural sciences,38528
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,Legal professions and studies,0
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,Health care,47934
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,Education and teaching,0
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Male,"Trades, services, natural resources and conservation",48224
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,Science and science technology,50947
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,Engineering and engineering technology,48941
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,Mathematics and computer and information science,56629
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,Business and administration,43860
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,Arts and humanities,33068
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,Social and behavioural sciences,34276
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,Legal professions and studies,42094
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,Health care,41548
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,Education and teaching,29849
Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",Female,"Trades, services, natural resources and conservation",33005
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,Science and science technology,61971
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,Engineering and engineering technology,77031
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,Mathematics and computer and information science,63184
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,Business and administration,62674
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,Arts and humanities,47585
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,Social and behavioural sciences,54176
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,Legal professions and studies,87794
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,Health care,74755
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,Education and teaching,71953
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Both sexes,"Trades, services, natural resources and conservation",69205
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,Science and science technology,65933
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,Engineering and engineering technology,73044
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,Mathematics and computer and information science,65098
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,Business and administration,70695
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,Arts and humanities,50936
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,Social and behavioural sciences,67920
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,Legal professions and studies,81738
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,Health care,99594
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,Education and teaching,72265
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Male,"Trades, services, natural resources and conservation",65830
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,Science and science technology,58804
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,Engineering and engineering technology,81625
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,Mathematics and computer and information science,36173
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,Business and administration,57197
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,Arts and humanities,45337
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,Social and behavioural sciences,50644
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,Legal professions and studies,99076
Prince Edward Island,"University certificate, diploma or degree at bachelor level or above",Female,Health care,73235
