"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Sex","Education","Total – STEM and BHASE (non-STEM) groupings - Classification of Instructional Programs (CIP) 2016 (2016 counts)","STEM fields of study - Science and science technology (2016 counts)","STEM fields of study - Engineering and engineering technology (2016 counts)","STEM fields of study - Mathematics and computer and information science (2016 counts)","BHASE (non-STEM) fields of study - Business and administration (2016 counts)","BHASE (non-STEM) fields of study - Arts and humanities (2016 counts)","BHASE (non-STEM) fields of study - Social and behavioural sciences (2016 counts)","BHASE (non-STEM) fields of study - Legal professions and studies (2016 counts)","BHASE (non-STEM) fields of study - Health care (2016 counts)","BHASE (non-STEM) fields of study - Education and teaching (2016 counts)","BHASE (non-STEM) fields of study - Trades, services, natural resources and conservation (2016 counts)","Total – STEM and BHASE (non-STEM) groupings - Classification of Instructional Programs (CIP) 2016 (% distribution 2016)","STEM fields of study - Science and science technology (% distribution 2016)","STEM fields of study - Engineering and engineering technology (% distribution 2016)","STEM fields of study - Mathematics and computer and information science (% distribution 2016)","BHASE (non-STEM) fields of study - Business and administration (% distribution 2016)","BHASE (non-STEM) fields of study - Arts and humanities (% distribution 2016)","BHASE (non-STEM) fields of study - Social and behavioural sciences (% distribution 2016)","BHASE (non-STEM) fields of study - Legal professions and studies (% distribution 2016)","BHASE (non-STEM) fields of study - Health care (% distribution 2016)","BHASE (non-STEM) fields of study - Education and teaching (% distribution 2016)","BHASE (non-STEM) fields of study - Trades, services, natural resources and conservation (% distribution 2016)"
"48","Alberta","6.1","20000","25 to 64","Both sexes","Bachelor's degree","448240","43140","61565","20035","87900","44440","58755","8070","44210","59135","20990","100","9.6","13.7","4.5","19.6","9.9","13.1","1.8","9.9","13.2","4.7"
"48","Alberta","6.1","20000","25 to 64","Both sexes","Master's degree","116975","13080","16195","5540","27260","10510","13065","1690","9000","12035","8595","100","11.2","13.8","4.7","23.3","9","11.2","1.4","7.7","10.3","7.3"
"48","Alberta","6.1","20000","25 to 64","Both sexes","Earned doctorate","19565","7390","3420","820","695","1735","2615","375","1180","955","375","100","37.8","17.5","4.2","3.6","8.9","13.4","1.9","6","4.9","1.9"
"48","Alberta","6.1","20000","25 to 64","Male","College, CEGEP or other non-university certificate or diploma","203350","4760","46475","13740","34065","12110","4890","625","9920","795","75975","100","2.3","22.9","6.8","16.8","6","2.4","0.3","4.9","0.4","37.4"
"48","Alberta","6.1","20000","25 to 64","Male","University certificate, diploma or degree at bachelor level or above","289810","33115","67875","18040","63805","21890","27635","6520","19175","18120","13630","100","11.4","23.4","6.2","22","7.6","9.5","2.2","6.6","6.3","4.7"
"48","Alberta","6.1","20000","25 to 64","Male","Bachelor's degree","197045","21250","49020","13315","43070","15890","21650","3955","6475","13130","9280","100","10.8","24.9","6.8","21.9","8.1","11","2","3.3","6.7","4.7"
"48","Alberta","6.1","20000","25 to 64","Male","Master's degree","57230","6380","12675","3410","16530","4395","4145","850","1890","3575","3390","100","11.1","22.1","6","28.9","7.7","7.2","1.5","3.3","6.2","5.9"
"48","Alberta","6.1","20000","25 to 64","Male","Earned doctorate","11875","4570","2810","645","460","1075","1030","265","480","315","225","100","38.5","23.7","5.4","3.9","9.1","8.7","2.2","4","2.7","1.9"
"48","Alberta","6.1","20000","25 to 64","Female","College, CEGEP or other non-university certificate or diploma","293020","7000","9565","6735","98810","15960","20515","10485","84350","7435","32170","100","2.4","3.3","2.3","33.7","5.4","7","3.6","28.8","2.5","11"
"48","Alberta","6.1","20000","25 to 64","Female","University certificate, diploma or degree at bachelor level or above","345920","32340","17590","9495","59925","36580","49210","6395","57345","59245","17800","100","9.3","5.1","2.7","17.3","10.6","14.2","1.8","16.6","17.1","5.1"
"48","Alberta","6.1","20000","25 to 64","Female","Bachelor's degree","251190","21890","12545","6715","44835","28545","37100","4115","37735","46005","11710","100","8.7","5","2.7","17.8","11.4","14.8","1.6","15","18.3","4.7"
"48","Alberta","6.1","20000","25 to 64","Female","Master's degree","59740","6700","3520","2130","10735","6120","8915","840","7110","8460","5200","100","11.2","5.9","3.6","18","10.2","14.9","1.4","11.9","14.2","8.7"
"48","Alberta","6.1","20000","25 to 64","Female","Earned doctorate","7695","2820","610","180","235","655","1590","105","700","645","150","100","36.6","7.9","2.3","3.1","8.5","20.7","1.4","9.1","8.4","1.9"
"48","Alberta","6.1","20000","25 to 34","Both sexes","College, CEGEP or other non-university certificate or diploma","125885","2690","13770","4930","27845","8205","6510","2915","27370","1525","30115","100","2.1","10.9","3.9","22.1","6.5","5.2","2.3","21.7","1.2","23.9"
"48","Alberta","6.1","20000","25 to 34","Both sexes","University certificate, diploma or degree at bachelor level or above","206030","22460","26785","8905","43125","18445","27225","3800","28310","18815","8160","100","10.9","13","4.3","20.9","9","13.2","1.8","13.7","9.1","4"
"48","Alberta","6.1","20000","25 to 34","Both sexes","Bachelor's degree","156690","16635","20340","6580","33935","15355","22075","2280","17990","15890","5610","100","10.6","13","4.2","21.7","9.8","14.1","1.5","11.5","10.1","3.6"
"48","Alberta","6.1","20000","25 to 34","Both sexes","Master's degree","31375","4030","4680","1850","6625","2485","4065","385","3470","1610","2175","100","12.8","14.9","5.9","21.1","7.9","13","1.2","11.1","5.1","6.9"
"48","Alberta","6.1","20000","25 to 34","Both sexes","Earned doctorate","3170","1255","790","105","95","150","315","140","260","35","25","100","39.6","24.9","3.3","3","4.7","9.9","4.4","8.2","1.1","0.8"
"48","Alberta","6.1","20000","25 to 34","Male","College, CEGEP or other non-university certificate or diploma","51715","1040","11065","3755","8215","3435","1195","230","3020","170","19600","100","2","21.4","7.3","15.9","6.6","2.3","0.4","5.8","0.3","37.9"
"48","Alberta","6.1","20000","25 to 34","Male","University certificate, diploma or degree at bachelor level or above","86265","9990","20075","5595","21070","6395","8840","1670","5865","3730","3040","100","11.6","23.3","6.5","24.4","7.4","10.2","1.9","6.8","4.3","3.5"
