"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Sex","Education","Total – STEM and BHASE (non-STEM) groupings - Classification of Instructional Programs (CIP) 2016 (2016 counts)","STEM fields of study - Science and science technology (2016 counts)","STEM fields of study - Engineering and engineering technology (2016 counts)","STEM fields of study - Mathematics and computer and information science (2016 counts)","BHASE (non-STEM) fields of study - Business and administration (2016 counts)","BHASE (non-STEM) fields of study - Arts and humanities (2016 counts)","BHASE (non-STEM) fields of study - Social and behavioural sciences (2016 counts)","BHASE (non-STEM) fields of study - Legal professions and studies (2016 counts)","BHASE (non-STEM) fields of study - Health care (2016 counts)","BHASE (non-STEM) fields of study - Education and teaching (2016 counts)","BHASE (non-STEM) fields of study - Trades, services, natural resources and conservation (2016 counts)","Total – STEM and BHASE (non-STEM) groupings - Classification of Instructional Programs (CIP) 2016 (% distribution 2016)","STEM fields of study - Science and science technology (% distribution 2016)","STEM fields of study - Engineering and engineering technology (% distribution 2016)","STEM fields of study - Mathematics and computer and information science (% distribution 2016)","BHASE (non-STEM) fields of study - Business and administration (% distribution 2016)","BHASE (non-STEM) fields of study - Arts and humanities (% distribution 2016)","BHASE (non-STEM) fields of study - Social and behavioural sciences (% distribution 2016)","BHASE (non-STEM) fields of study - Legal professions and studies (% distribution 2016)","BHASE (non-STEM) fields of study - Health care (% distribution 2016)","BHASE (non-STEM) fields of study - Education and teaching (% distribution 2016)","BHASE (non-STEM) fields of study - Trades, services, natural resources and conservation (% distribution 2016)"
"01","Canada","5.1","20000","25 to 64","Both sexes","Bachelor's degree","3590080","307520","379575","193700","690725","480070","610835","79570","283130","391390","173560","100","8.6","10.6","5.4","19.2","13.4","17","2.2","7.9","10.9","4.8"
"01","Canada","5.1","20000","25 to 64","Both sexes","Master's degree","1120190","109315","116525","65145","273115","112350","136990","23035","78780","117360","87575","100","9.8","10.4","5.8","24.4","10","12.2","2.1","7","10.5","7.8"
"01","Canada","5.1","20000","25 to 64","Both sexes","Earned doctorate","175685","62610","23640","9960","6000","19030","27770","4355","11330","6835","4160","100","35.6","13.5","5.7","3.4","10.8","15.8","2.5","6.4","3.9","2.4"
"01","Canada","5.1","20000","25 to 64","Male","College, CEGEP or other non-university certificate or diploma","1786065","45660","334565","159895","312700","147500","49180","8445","85385","11400","631330","100","2.6","18.7","9","17.5","8.3","2.8","0.5","4.8","0.6","35.3"
"01","Canada","5.1","20000","25 to 64","Male","University certificate, diploma or degree at bachelor level or above","2417550","240600","443040","189695","547460","235410","295900","65080","145595","137220","117560","100","10","18.3","7.8","22.6","9.7","12.2","2.7","6","5.7","4.9"
"01","Canada","5.1","20000","25 to 64","Male","Bachelor's degree","1562160","143410","305760","130230","343155","171225","226425","37525","43865","84495","76055","100","9.2","19.6","8.3","22","11","14.5","2.4","2.8","5.4","4.9"
"01","Canada","5.1","20000","25 to 64","Male","Master's degree","527335","51300","89895","42400","159740","45605","48130","10500","15590","32080","32095","100","9.7","17","8","30.3","8.6","9.1","2","3","6.1","6.1"
"01","Canada","5.1","20000","25 to 64","Male","Earned doctorate","102415","38075","19520","7485","3710","10285","11570","2500","4505","2315","2440","100","37.2","19.1","7.3","3.6","10","11.3","2.4","4.4","2.3","2.4"
"01","Canada","5.1","20000","25 to 64","Female","College, CEGEP or other non-university certificate or diploma","2455920","51480","46500","68545","780930","182185","224445","81650","673030","70450","276700","100","2.1","1.9","2.8","31.8","7.4","9.1","3.3","27.4","2.9","11.3"
"01","Canada","5.1","20000","25 to 64","Female","University certificate, diploma or degree at bachelor level or above","2984155","256380","112635","93915","508110","400375","509385","72150","411135","458010","162050","100","8.6","3.8","3.1","17","13.4","17.1","2.4","13.8","15.3","5.4"
"01","Canada","5.1","20000","25 to 64","Female","Bachelor's degree","2027925","164110","73810","63465","347570","308840","384415","42045","239265","306885","97515","100","8.1","3.6","3.1","17.1","15.2","19","2.1","11.8","15.1","4.8"
"01","Canada","5.1","20000","25 to 64","Female","Master's degree","592855","58005","26625","22745","113380","66745","88865","12540","63190","85280","55480","100","9.8","4.5","3.8","19.1","11.3","15","2.1","10.7","14.4","9.4"
"01","Canada","5.1","20000","25 to 64","Female","Earned doctorate","73275","24535","4120","2475","2290","8745","16195","1850","6825","4520","1720","100","33.5","5.6","3.4","3.1","11.9","22.1","2.5","9.3","6.2","2.3"
"01","Canada","5.1","20000","25 to 34","Both sexes","College, CEGEP or other non-university certificate or diploma","987580","21015","75170","50575","201170","97790","76265","20625","183195","17670","244115","100","2.1","7.6","5.1","20.4","9.9","7.7","2.1","18.5","1.8","24.7"
"01","Canada","5.1","20000","25 to 34","Both sexes","University certificate, diploma or degree at bachelor level or above","1599585","157835","152905","83410","321510","184340","262180","39315","189755","135625","72715","100","9.9","9.6","5.2","20.1","11.5","16.4","2.5","11.9","8.5","4.5"
"01","Canada","5.1","20000","25 to 34","Both sexes","Bachelor's degree","1131875","106270","108700","57750","230130","149430","206335","20990","106570","99340","46365","100","9.4","9.6","5.1","20.3","13.2","18.2","1.9","9.4","8.8","4.1"
"01","Canada","5.1","20000","25 to 34","Both sexes","Master's degree","303705","36040","33405","20135","65390","27115","43080","6520","29835","19125","23055","100","11.9","11","6.6","21.5","8.9","14.2","2.1","9.8","6.3","7.6"
"01","Canada","5.1","20000","25 to 34","Both sexes","Earned doctorate","26700","10280","4215","1655","555","1700","3635","1470","2530","315","345","100","38.5","15.8","6.2","2.1","6.4","13.6","5.5","9.5","1.2","1.3"
"01","Canada","5.1","20000","25 to 34","Male","College, CEGEP or other non-university certificate or diploma","432180","9745","64840","41415","72360","44300","13380","2575","22645","2110","158800","100","2.3","15","9.6","16.7","10.3","3.1","0.6","5.2","0.5","36.7"
"01","Canada","5.1","20000","25 to 34","Male","University certificate, diploma or degree at bachelor level or above","658455","67065","117785","55675","156405","65355","86420","15975","41655","26165","25955","100","10.2","17.9","8.5","23.8","9.9","13.1","2.4","6.3","4","3.9"
"01","Canada","5.1","20000","25 to 34","Male","Bachelor's degree","466665","44900","85175","39995","112570","52975","69515","8320","16910","18970","17335","100","9.6","18.3","8.6","24.1","11.4","14.9","1.8","3.6","4.1","3.7"
"01","Canada","5.1","20000","25 to 34","Male","Master's degree","125230","14935","24430","12010","32275","9730","13225","2495","5370","3510","7240","100","11.9","19.5","9.6","25.8","7.8","10.6","2","4.3","2.8","5.8"
"01","Canada","5.1","20000","25 to 34","Male","Earned doctorate","13765","5175","3210","1220","280","815","1050","790","935","100","190","100","37.6","23.3","8.9","2","5.9","7.6","5.7","6.8","0.7","1.4"
"01","Canada","5.1","20000","25 to 34","Female","College, CEGEP or other non-university certificate or diploma","555410","11270","10330","9155","128810","53485","62885","18050","160545","15560","85315","100","2","1.9","1.6","23.2","9.6","11.3","3.2","28.9","2.8","15.4"
"01","Canada","5.1","20000","25 to 34","Female","University certificate, diploma or degree at bachelor level or above","941135","90770","35120","27740","165110","118975","175755","23340","148095","109460","46760","100","9.6","3.7","2.9","17.5","12.6","18.7","2.5","15.7","11.6","5"
"01","Canada","5.1","20000","25 to 34","Female","Bachelor's degree","665210","61370","23520","17760","117555","96450","136825","12670","89660","80370","29030","100","9.2","3.5","2.7","17.7","14.5","20.6","1.9","13.5","12.1","4.4"
"01","Canada","5.1","20000","25 to 34","Female","Master's degree","178475","21105","8975","8125","33120","17380","29850","4030","24460","15625","15815","100","11.8","5","4.6","18.6","9.7","16.7","2.3","13.7","8.8","8.9"
"01","Canada","5.1","20000","25 to 34","Female","Earned doctorate","12935","5105","1005","435","280","880","2580","680","1595","215","155","100","39.5","7.8","3.4","2.2","6.8","19.9","5.3","12.3","1.7","1.2"
"01","Canada","5.1","20000","35 to 44","Both sexes","College, CEGEP or other non-university certificate or diploma","1065970","22020","91855","75920","264050","86955","76950","24010","179890","20250","224075","100","2.1","8.6","7.1","24.8","8.2","7.2","2.3","16.9","1.9","21"
"01","Canada","5.1","20000","35 to 44","Both sexes","University certificate, diploma or degree at bachelor level or above","1507020","138820","145980","92275","302565","172100","221660","37175","150690","171105","74640","100","9.2","9.7","6.1","20.1","11.4","14.7","2.5","10","11.4","5"
"01","Canada","5.1","20000","35 to 44","Both sexes","Bachelor's degree","980645","82430","98340","61175","189800","127445","164450","21785","77880","112055","45290","100","8.4","10","6.2","19.4","13","16.8","2.2","7.9","11.4","4.6"
"01","Canada","5.1","20000","35 to 44","Both sexes","Master's degree","331155","32150","31610","22870","86150","32505","39535","6930","20830","33920","24665","100","9.7","9.5","6.9","26","9.8","11.9","2.1","6.3","10.2","7.4"
"01","Canada","5.1","20000","35 to 44","Both sexes","Earned doctorate","53075","19510","7110","3130","1760","5490","8995","1200","3425","1425","1040","100","36.8","13.4","5.9","3.3","10.3","16.9","2.3","6.5","2.7","2"
"01","Canada","5.1","20000","35 to 44","Male","College, CEGEP or other non-university certificate or diploma","454280","10380","78795","56720","76850","39060","12950","2370","21875","2635","152650","100","2.3","17.3","12.5","16.9","8.6","2.9","0.5","4.8","0.6","33.6"
"01","Canada","5.1","20000","35 to 44","Male","University certificate, diploma or degree at bachelor level or above","642380","61335","112120","62180","147400","62190","76145","15990","37875","37665","29470","100","9.5","17.5","9.7","22.9","9.7","11.9","2.5","5.9","5.9","4.6"
"01","Canada","5.1","20000","35 to 44","Male","Bachelor's degree","404675","34960","76125","41255","86785","44965","57075","9220","12705","23120","18460","100","8.6","18.8","10.2","21.4","11.1","14.1","2.3","3.1","5.7","4.6"
"01","Canada","5.1","20000","35 to 44","Male","Master's degree","151790","13705","23685","15305","48845","12245","12940","2895","4500","8885","8780","100","9","15.6","10.1","32.2","8.1","8.5","1.9","3","5.9","5.8"
"01","Canada","5.1","20000","35 to 44","Male","Earned doctorate","28505","10650","5595","2240","955","2800","3400","660","1240","435","535","100","37.4","19.6","7.9","3.4","9.8","11.9","2.3","4.4","1.5","1.9"
"01","Canada","5.1","20000","35 to 44","Female","College, CEGEP or other non-university certificate or diploma","611690","11640","13060","19195","187200","47895","64000","21640","158015","17620","71420","100","1.9","2.1","3.1","30.6","7.8","10.5","3.5","25.8","2.9","11.7"
"01","Canada","5.1","20000","35 to 44","Female","University certificate, diploma or degree at bachelor level or above","864640","77485","33860","30095","155165","109910","145520","21180","112815","133445","45170","100","9","3.9","3.5","17.9","12.7","16.8","2.4","13","15.4","5.2"
"01","Canada","5.1","20000","35 to 44","Female","Bachelor's degree","575965","47470","22215","19915","103015","82475","107370","12565","65170","88935","26825","100","8.2","3.9","3.5","17.9","14.3","18.6","2.2","11.3","15.4","4.7"
"01","Canada","5.1","20000","35 to 44","Female","Master's degree","179370","18445","7930","7570","37300","20255","26595","4035","16335","25030","15880","100","10.3","4.4","4.2","20.8","11.3","14.8","2.2","9.1","14","8.9"
"01","Canada","5.1","20000","35 to 44","Female","Earned doctorate","24570","8860","1515","890","800","2690","5595","535","2190","995","500","100","36.1","6.2","3.6","3.3","10.9","22.8","2.2","8.9","4","2"
"01","Canada","5.1","20000","45 to 54","Both sexes","College, CEGEP or other non-university certificate or diploma","1175560","26920","110725","62365","336815","79320","70140","26860","200030","21945","240440","100","2.3","9.4","5.3","28.7","6.7","6","2.3","17","1.9","20.5"
"01","Canada","5.1","20000","45 to 54","Both sexes","University certificate, diploma or degree at bachelor level or above","1311380","113260","157655","69285","261805","150570","186295","32375","121200","150065","68875","100","8.6","12","5.3","20","11.5","14.2","2.5","9.2","11.4","5.3"
"01","Canada","5.1","20000","45 to 54","Both sexes","Bachelor's degree","854605","66450","106130","47660","165000","111745","142610","19890","56570","95305","43250","100","7.8","12.4","5.6","19.3","13.1","16.7","2.3","6.6","11.2","5.1"
"01","Canada","5.1","20000","45 to 54","Both sexes","Master's degree","275925","24210","32105","14990","73935","27270","29295","5360","15770","32700","20290","100","8.8","11.6","5.4","26.8","9.9","10.6","1.9","5.7","11.9","7.4"
"01","Canada","5.1","20000","45 to 54","Both sexes","Earned doctorate","51410","18300","7225","3005","1915","5760","7685","900","2895","2330","1400","100","35.6","14.1","5.8","3.7","11.2","14.9","1.8","5.6","4.5","2.7"
"01","Canada","5.1","20000","45 to 54","Male","College, CEGEP or other non-university certificate or diploma","482565","13020","97490","38890","86740","35065","12590","1940","22760","3090","170985","100","2.7","20.2","8.1","18","7.3","2.6","0.4","4.7","0.6","35.4"
"01","Canada","5.1","20000","45 to 54","Male","University certificate, diploma or degree at bachelor level or above","621510","60065","126385","46190","138215","56820","74305","15875","35140","37070","31440","100","9.7","20.3","7.4","22.2","9.1","12","2.6","5.7","6","5.1"
"01","Canada","5.1","20000","45 to 54","Male","Bachelor's degree","388390","33685","85505","31345","79970","39850","57410","9745","8755","21710","20420","100","8.7","22","8.1","20.6","10.3","14.8","2.5","2.3","5.6","5.3"
"01","Canada","5.1","20000","45 to 54","Male","Master's degree","141510","12555","25295","10180","46730","11790","11165","2675","3270","9645","8205","100","8.9","17.9","7.2","33","8.3","7.9","1.9","2.3","6.8","5.8"
"01","Canada","5.1","20000","45 to 54","Male","Earned doctorate","31395","11815","6135","2325","1265","3080","3340","545","1210","880","815","100","37.6","19.5","7.4","4","9.8","10.6","1.7","3.9","2.8","2.6"
"01","Canada","5.1","20000","45 to 54","Female","College, CEGEP or other non-university certificate or diploma","692985","13905","13235","23475","250070","44255","57550","24915","177265","18860","69455","100","2","1.9","3.4","36.1","6.4","8.3","3.6","25.6","2.7","10"
"01","Canada","5.1","20000","45 to 54","Female","University certificate, diploma or degree at bachelor level or above","689870","53190","31275","23095","123585","93750","111990","16505","86055","112995","37435","100","7.7","4.5","3.3","17.9","13.6","16.2","2.4","12.5","16.4","5.4"
"01","Canada","5.1","20000","45 to 54","Female","Bachelor's degree","466215","32765","20625","16320","85030","71895","85195","10145","47820","73595","22825","100","7","4.4","3.5","18.2","15.4","18.3","2.2","10.3","15.8","4.9"
"01","Canada","5.1","20000","45 to 54","Female","Master's degree","134415","11660","6805","4815","27200","15480","18130","2680","12500","23060","12080","100","8.7","5.1","3.6","20.2","11.5","13.5","2","9.3","17.2","9"
"01","Canada","5.1","20000","45 to 54","Female","Earned doctorate","20015","6485","1090","685","655","2685","4350","355","1690","1455","580","100","32.4","5.4","3.4","3.3","13.4","21.7","1.8","8.4","7.3","2.9"
"01","Canada","5.1","20000","55 to 64","Both sexes","College, CEGEP or other non-university certificate or diploma","1012875","27175","103320","39590","291600","65630","50275","18600","195300","21985","199400","100","2.7","10.2","3.9","28.8","6.5","5","1.8","19.3","2.2","19.7"
"01","Canada","5.1","20000","55 to 64","Both sexes","University certificate, diploma or degree at bachelor level or above","983720","87065","99135","38635","169685","128785","135145","28365","95090","138440","63375","100","8.9","10.1","3.9","17.2","13.1","13.7","2.9","9.7","14.1","6.4"
"01","Canada","5.1","20000","55 to 64","Both sexes","Bachelor's degree","622960","52365","66410","27120","105795","91450","97445","16905","42115","84690","38670","100","8.4","10.7","4.4","17","14.7","15.6","2.7","6.8","13.6","6.2"
"01","Canada","5.1","20000","55 to 64","Both sexes","Master's degree","209405","16915","19400","7140","47645","25460","25085","4220","12345","31610","19570","100","8.1","9.3","3.4","22.8","12.2","12","2","5.9","15.1","9.3"
"01","Canada","5.1","20000","55 to 64","Both sexes","Earned doctorate","44495","14525","5090","2175","1770","6080","7455","790","2475","2765","1380","100","32.6","11.4","4.9","4","13.7","16.8","1.8","5.6","6.2","3.1"
"01","Canada","5.1","20000","55 to 64","Male","College, CEGEP or other non-university certificate or diploma","417040","12515","93440","22865","76745","29080","10260","1560","18100","3570","148895","100","3","22.4","5.5","18.4","7","2.5","0.4","4.3","0.9","35.7"
"01","Canada","5.1","20000","55 to 64","Male","University certificate, diploma or degree at bachelor level or above","495210","52135","86755","25645","105435","51050","59025","17245","30910","36320","30700","100","10.5","17.5","5.2","21.3","10.3","11.9","3.5","6.2","7.3","6.2"
"01","Canada","5.1","20000","55 to 64","Male","Bachelor's degree","302425","29865","58955","17640","63830","33435","42420","10245","5500","20700","19840","100","9.9","19.5","5.8","21.1","11.1","14","3.4","1.8","6.8","6.6"
"01","Canada","5.1","20000","55 to 64","Male","Master's degree","108810","10110","16480","4905","31890","11835","10795","2430","2445","10045","7875","100","9.3","15.1","4.5","29.3","10.9","9.9","2.2","2.2","9.2","7.2"
"01","Canada","5.1","20000","55 to 64","Male","Earned doctorate","28750","10435","4585","1710","1215","3590","3790","510","1120","905","890","100","36.3","15.9","5.9","4.2","12.5","13.2","1.8","3.9","3.1","3.1"
"01","Canada","5.1","20000","55 to 64","Female","College, CEGEP or other non-university certificate or diploma","595835","14665","9875","16720","214855","36545","40015","17045","177195","18410","50505","100","2.5","1.7","2.8","36.1","6.1","6.7","2.9","29.7","3.1","8.5"
"01","Canada","5.1","20000","55 to 64","Female","University certificate, diploma or degree at bachelor level or above","488510","34935","12380","12990","64250","77740","76120","11120","64180","102115","32680","100","7.2","2.5","2.7","13.2","15.9","15.6","2.3","13.1","20.9","6.7"
"01","Canada","5.1","20000","55 to 64","Female","Bachelor's degree","320535","22505","7455","9475","41965","58010","55025","6665","36620","63990","18830","100","7","2.3","3","13.1","18.1","17.2","2.1","11.4","20","5.9"
"01","Canada","5.1","20000","55 to 64","Female","Master's degree","100590","6805","2920","2235","15755","13625","14295","1795","9895","21565","11700","100","6.8","2.9","2.2","15.7","13.5","14.2","1.8","9.8","21.4","11.6"
"01","Canada","5.1","20000","55 to 64","Female","Earned doctorate","15745","4085","510","470","550","2490","3670","280","1355","1865","485","100","25.9","3.2","3","3.5","15.8","23.3","1.8","8.6","11.8","3.1"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Both sexes","College, CEGEP or other non-university certificate or diploma","101250","1525","10250","5210","29985","2690","3650","875","16530","1215","29325","100","1.5","10.1","5.1","29.6","2.7","3.6","0.9","16.3","1.2","29"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Both sexes","University certificate, diploma or degree at bachelor level or above","64705","6310","5350","1770","8730","7025","6950","985","8230","15530","3835","100","9.8","8.3","2.7","13.5","10.9","10.7","1.5","12.7","24","5.9"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Both sexes","Bachelor's degree","42845","4070","4055","1210","6220","5295","5100","635","4825","9045","2395","100","9.5","9.5","2.8","14.5","12.4","11.9","1.5","11.3","21.1","5.6"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Both sexes","Master's degree","14815","1345","850","370","1850","1260","1270","95","1105","5525","1155","100","9.1","5.7","2.5","12.5","8.5","8.6","0.6","7.5","37.3","7.8"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Both sexes","Earned doctorate","2250","725","255","145","80","260","395","20","145","180","45","100","32.2","11.3","6.4","3.6","11.6","17.6","0.9","6.4","8","2"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Male","College, CEGEP or other non-university certificate or diploma","42905","575","8350","2795","4600","1290","465","50","1610","140","23040","100","1.3","19.5","6.5","10.7","3","1.1","0.1","3.8","0.3","53.7"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Male","University certificate, diploma or degree at bachelor level or above","27900","3270","4360","1200","4560","2835","2620","535","1955","5060","1505","100","11.7","15.6","4.3","16.3","10.2","9.4","1.9","7","18.1","5.4"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Male","Bachelor's degree","17805","2000","3310","830","3240","2025","1885","380","565","2705","875","100","11.2","18.6","4.7","18.2","11.4","10.6","2.1","3.2","15.2","4.9"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Male","Master's degree","6180","705","665","225","940","545","445","45","175","1980","455","100","11.4","10.8","3.6","15.2","8.8","7.2","0.7","2.8","32","7.4"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Male","Earned doctorate","1460","475","235","115","70","175","215","0","55","90","25","100","32.5","16.1","7.9","4.8","12","14.7","0","3.8","6.2","1.7"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Female","College, CEGEP or other non-university certificate or diploma","58340","950","1905","2415","25385","1405","3190","825","14915","1075","6285","100","1.6","3.3","4.1","43.5","2.4","5.5","1.4","25.6","1.8","10.8"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Female","University certificate, diploma or degree at bachelor level or above","36805","3035","990","570","4170","4185","4330","450","6275","10465","2325","100","8.2","2.7","1.5","11.3","11.4","11.8","1.2","17","28.4","6.3"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Female","Bachelor's degree","25040","2070","750","380","2985","3270","3220","255","4260","6345","1520","100","8.3","3","1.5","11.9","13.1","12.9","1","17","25.3","6.1"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Female","Master's degree","8640","640","190","145","905","720","825","50","925","3540","700","100","7.4","2.2","1.7","10.5","8.3","9.5","0.6","10.7","41","8.1"
"10","Newfoundland and Labrador","6.8","00000","All ages, 15-plus","Female","Earned doctorate","790","250","15","30","20","80","175","25","90","90","20","100","31.6","1.9","3.8","2.5","10.1","22.2","3.2","11.4","11.4","2.5"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Both sexes","College, CEGEP or other non-university certificate or diploma","81955","1260","8340","4925","24715","1965","3190","790","12840","550","23385","100","1.5","10.2","6","30.2","2.4","3.9","1","15.7","0.7","28.5"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Both sexes","University certificate, diploma or degree at bachelor level or above","52790","4925","4525","1595","7755","5315","5955","820","7200","11370","3335","100","9.3","8.6","3","14.7","10.1","11.3","1.6","13.6","21.5","6.3"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Both sexes","Bachelor's degree","34555","3060","3345","1095","5440","4080","4405","540","4235","6290","2070","100","8.9","9.7","3.2","15.7","11.8","12.7","1.6","12.3","18.2","6"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Both sexes","Master's degree","12615","1140","800","330","1735","925","1090","85","1000","4485","1015","100","9","6.3","2.6","13.8","7.3","8.6","0.7","7.9","35.6","8"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Both sexes","Earned doctorate","1705","570","235","130","60","160","280","10","130","95","40","100","33.4","13.8","7.6","3.5","9.4","16.4","0.6","7.6","5.6","2.3"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Male","College, CEGEP or other non-university certificate or diploma","34175","450","6805","2650","3375","900","380","40","1250","55","18280","100","1.3","19.9","7.8","9.9","2.6","1.1","0.1","3.7","0.2","53.5"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Male","University certificate, diploma or degree at bachelor level or above","21755","2485","3625","1080","3905","2105","2160","410","1620","3125","1250","100","11.4","16.7","5","17.9","9.7","9.9","1.9","7.4","14.4","5.7"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Male","Bachelor's degree","13960","1485","2675","755","2730","1560","1605","290","515","1610","730","100","10.6","19.2","5.4","19.6","11.2","11.5","2.1","3.7","11.5","5.2"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Male","Master's degree","4865","570","615","195","860","375","345","30","155","1330","385","100","11.7","12.6","4","17.7","7.7","7.1","0.6","3.2","27.3","7.9"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Male","Earned doctorate","1055","340","215","100","50","105","145","0","45","35","20","100","32.2","20.4","9.5","4.7","10","13.7","0","4.3","3.3","1.9"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Female","College, CEGEP or other non-university certificate or diploma","47775","805","1535","2280","21335","1060","2805","750","11595","495","5105","100","1.7","3.2","4.8","44.7","2.2","5.9","1.6","24.3","1","10.7"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Female","University certificate, diploma or degree at bachelor level or above","31030","2440","900","520","3850","3210","3795","410","5580","8240","2080","100","7.9","2.9","1.7","12.4","10.3","12.2","1.3","18","26.6","6.7"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Female","Bachelor's degree","20595","1580","670","340","2710","2520","2800","250","3715","4675","1335","100","7.7","3.3","1.7","13.2","12.2","13.6","1.2","18","22.7","6.5"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Female","Master's degree","7750","565","185","135","880","550","745","50","850","3155","630","100","7.3","2.4","1.7","11.4","7.1","9.6","0.6","11","40.7","8.1"
"10","Newfoundland and Labrador","6.8","00000","25 to 64","Female","Earned doctorate","645","225","15","30","10","55","140","10","85","60","15","100","34.9","2.3","4.7","1.6","8.5","21.7","1.6","13.2","9.3","2.3"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Both sexes","College, CEGEP or other non-university certificate or diploma","15935","290","2105","870","3215","500","810","150","2765","40","5190","100","1.8","13.2","5.5","20.2","3.1","5.1","0.9","17.4","0.3","32.6"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Both sexes","University certificate, diploma or degree at bachelor level or above","15710","1705","1905","465","2505","1615","1630","190","2535","2290","890","100","10.9","12.1","3","15.9","10.3","10.4","1.2","16.1","14.6","5.7"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Both sexes","Bachelor's degree","11670","1170","1460","360","2005","1395","1305","125","1700","1580","570","100","10","12.5","3.1","17.2","12","11.2","1.1","14.6","13.5","4.9"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Both sexes","Master's degree","2835","415","345","90","355","190","245","10","320","615","245","100","14.6","12.2","3.2","12.5","6.7","8.6","0.4","11.3","21.7","8.6"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Both sexes","Earned doctorate","165","60","40","0","0","20","10","0","20","10","10","100","36.4","24.2","0","0","12.1","6.1","0","12.1","6.1","6.1"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Male","College, CEGEP or other non-university certificate or diploma","7025","100","1510","640","465","255","80","10","270","10","3690","100","1.4","21.5","9.1","6.6","3.6","1.1","0.1","3.8","0.1","52.5"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Male","University certificate, diploma or degree at bachelor level or above","5805","705","1435","305","1065","580","515","55","470","370","300","100","12.1","24.7","5.3","18.3","10","8.9","0.9","8.1","6.4","5.2"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Male","Bachelor's degree","4260","460","1105","225","915","485","390","40","175","275","195","100","10.8","25.9","5.3","21.5","11.4","9.2","0.9","4.1","6.5","4.6"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Male","Master's degree","1000","180","255","75","95","80","100","0","65","75","75","100","18","25.5","7.5","9.5","8","10","0","6.5","7.5","7.5"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Male","Earned doctorate","115","40","35","10","10","10","10","0","10","0","0","100","34.8","30.4","8.7","8.7","8.7","8.7","0","8.7","0","0"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Female","College, CEGEP or other non-university certificate or diploma","8905","195","590","225","2750","245","730","145","2495","30","1495","100","2.2","6.6","2.5","30.9","2.8","8.2","1.6","28","0.3","16.8"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Female","University certificate, diploma or degree at bachelor level or above","9910","995","470","155","1440","1035","1115","135","2060","1920","590","100","10","4.7","1.6","14.5","10.4","11.3","1.4","20.8","19.4","6"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Female","Bachelor's degree","7405","710","360","135","1090","910","915","85","1520","1305","375","100","9.6","4.9","1.8","14.7","12.3","12.4","1.1","20.5","17.6","5.1"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Female","Master's degree","1835","230","95","20","260","115","145","10","255","540","165","100","12.5","5.2","1.1","14.2","6.3","7.9","0.5","13.9","29.4","9"
"10","Newfoundland and Labrador","6.8","00000","25 to 34","Female","Earned doctorate","50","25","0","0","0","0","10","0","10","10","0","100","50","0","0","0","0","20","0","20","20","0"
