GeoName,Education,Age,Sex,Industry,Median Income
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,Education and teaching,39442
Canada,"College, CEGEP or other non-university certificate or diploma",30 to 44 years,Female,"Trades, services, natural resources and conservation",44710
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Science and science technology,61437
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Engineering and engineering technology,59589
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Mathematics and computer and information science,60198
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Business and administration,51351
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Arts and humanities,46519
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Social and behavioural sciences,43939
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Legal professions and studies,55263
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Health care,52869
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,Education and teaching,43498
Canada,"College, CEGEP or other non-university certificate or diploma",45 to 59 years,Female,"Trades, services, natural resources and conservation",46582
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,Science and science technology,53312
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,Engineering and engineering technology,52315
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,Mathematics and computer and information science,50950
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,Business and administration,48064
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,Arts and humanities,42251
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,Social and behavioural sciences,42760
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,Legal professions and studies,54155
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,Health care,49105
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,Education and teaching,40774
Canada,"College, CEGEP or other non-university certificate or diploma",60 years and over,Female,"Trades, services, natural resources and conservation",41230
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,Science and science technology,43698
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,Engineering and engineering technology,65352
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,Mathematics and computer and information science,58884
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,Business and administration,51821
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,Arts and humanities,38490
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,Social and behavioural sciences,45307
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,Legal professions and studies,57034
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,Health care,64185
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,Education and teaching,48786
Canada,"University certificate, diploma or degree at bachelor level or above",15 to 29 years,Male,"Trades, services, natural resources and conservation",48431
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,Science and science technology,76047
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,Engineering and engineering technology,89356
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,Mathematics and computer and information science,82535
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,Business and administration,83475
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,Arts and humanities,59274
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,Social and behavioural sciences,73098
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,Legal professions and studies,99966
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,Health care,83718
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,Education and teaching,76983
Canada,"University certificate, diploma or degree at bachelor level or above",30 to 44 years,Male,"Trades, services, natural resources and conservation",72131
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,Science and science technology,90362
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,Engineering and engineering technology,98661
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,Mathematics and computer and information science,95305
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,Business and administration,101022
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,Arts and humanities,70964
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,Social and behavioural sciences,86834
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,Legal professions and studies,126746
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,Health care,97696
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,Education and teaching,88132
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Male,"Trades, services, natural resources and conservation",83346
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,Science and science technology,85188
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,Engineering and engineering technology,90889
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,Mathematics and computer and information science,93314
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,Business and administration,83429
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,Arts and humanities,61174
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,Social and behavioural sciences,74062
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Male,Legal professions and studies,115562
